schoolName,schoolType,schoolGov,schoolAdresse,schoolPhoneNumber,schoolEmail
DA VINCI SCHOOL,Primaire/Privé,Tunis,"01, bis Rue El Maarri ,La Marsa",71740151/22344850, d.vincischool@gmail.com 
Da Vinci Smart academy,Primaire/Privé,Ben Arous,"6, rue Menzel Abderrahmen (à proximité de Cité El Ezz) Meliane2 ,Radès",95227890/93553667, davinci.smartacademy@gmail.com 
Dauphine | Tunis,Supérieur/Privé,Tunis,"20, rue Baudelaire ,Omrane",71957857, contact@dauphine.tn 
Davinci School,Primaire/Privé,Sousse,"Msaken ,Sousse",50512502,None
Descartes Midoun,Primaire/Privé,Médenine,"Résidence Ben sedrine, devant il pappagallo, route du phare ,Jerba Midoun",55349014,None
Dhaouadi School,Primaire/Privé,Ben Arous,"Cité Hached Mhamdia ,Ben Arous",71304171/97684284/96982736, dhaouadischool@gmail.com 
DIDON,Primaire/Privé,Tunis,"31 Avenue Mosbah El Jarbouu Manar 3 ,Tunis",71883737, ecoledidon@gmail.com 
DOUZ School,Primaire/Public,Kébili,"cité Ouled Aoun-Douz sud-en face du complexe culurel Douz ,Douz sud",75473227/40356901, douzschool@yahoo.fr 
DREAM School,Primaire/Privé,Kairouan,"Rakada, Route de Kairouan ,Kairouan",95416357,None
Dream School,Primaire/Privé,Monastir,"Rue Othman Ibn Affan, Moknine ,Monastir",73435972/98229291, dream.school@gnet.tn 
Echoala,Primaire/Privé,Tunis,"6 rue 62127 cité essedik ,Tunis",71925660/54926100, echoala.school@gmail.com 
École Al Rayan pour l'Education Privée - EREP,Primaire/Privé,Sidi Bouzid,"Lessouda route Sfax ,Sidi Bouzid",53663155/96644960/98918858,None
ECOLE ALBERT CAMUS,Secondaire/Privé,Sfax,"Route Lafrane km 4.5  Rue des Roses ,Sfax",53070047, contact@eac.tn 
ECOLE ALBERT CAMUS,Primaire/Privé,Sfax,"Route Lafrane km 4.5  Rue des Roses ,Sfax",53070047, contact@eac.tn 
Ecole Annexe La Soukra,Primaire/Privé,Ariana,"Université Tunis Carthage Avenue Fattouma Bourguiba ,Ariana",70858045, na@site.com 
Ecole Arabe De Tunis,Primaire/Privé,Tunis,"16 Rue B.Khouri ,Omrane",71959425,None
Ecole Arabe De Tunis,Secondaire/Privé,Tunis,"16 RUE BACHAR EL KHOURI  El Omrane, Tunis, Tunisie ,Tunis",71959425,None
Ecole Attamayouz,Primaire/Privé,Gafsa,"Cité Ennour ,Gafsa",97674040, ecole.attamayouz@gmail.com 
Ecole Avicenne Menzah 8,Primaire/Privé,Tunis,"20 rue de Tyr El Menzah 8 ,El Menzah",70866223/70866506, ecole.avicenne.menzah8@gmail.com 
ECOLE BAUDELAIRE,Primaire/Privé,Tunis,"20 Avenue de la Démocratie ,El Menzah",71766664/54135532, baudelaire@baudelaire.tn 
Ecole Bechir Inoubli,Primaire/Privé,Jendouba,"Rue mustapha Khéraief SNIT ,Jendouba",78601987/55198806,None
École Canadienne de Tunis - ECT,Secondaire/Privé,Tunis,"Croisement Rue de l’Énergie Solaire/Rue des métaux, Charguia 1 ,Tunis",71206035/26749949/29559863, contact@ec-tunis.com 
Ecole Centrale Polytechnique Privée de Tunis,Supérieur/Privé,Tunis,"Rue du Lac Biwa, Les Berges du Lac 1 ,Tunis",71796679, ucginfo@universitecentrale.tn 
Ecole Charlemagne,Primaire/Privé,Tunis,"66, av. du 10 Décembre ,El Menzah",71767067, ecole.charlemagne@yahoo.fr 
Ecole D'Elite,Primaire/Privé,Monastir,"Avenue Ali Bourguiba route de Sousse ,Monastir",73907113/96926336/52282533, contact@ecoledelite.com 
École Dar El Osra,Primaire/Privé,Ariana,"2 Rue Lycée Menzah 6 ,Ariana",71767219,None
"Ecole de Base Pilote Nouvelle Génération ""E.P.N.G""",Primaire/Privé,Mahdia,"Avenue de la république, Ezahra ,Mahdia",73673095/98250528,None
École De la fontaine,Primaire/Privé,Sousse,"Route de Tunis El Menchia ,Hammam sousse",94504009,None
Ecole Des Lumières,Primaire/Privé,Ariana,"3 rue les îles Comores, par l'avenue Fethi Zouhir ,Ariana",58844177,None
Ecole Des Soeurs,Primaire/Privé,Bizerte,"120 Avenue Habib Bourguiba ,Bizerte",72431515/55328285,None
Ecole des Soeurs,Primaire/Privé,Sousse,"Rue Soeur Joséphine ,Sousse",73224204, contact@ecole-des-soeurs.com 
Ecole Des Soeurs Ferryville,Primaire/Privé,Bizerte,"Rue Ahmed Ibn Abi Dhief ,Menzel Bourguiba",72464492/72470808/55328285,None
ECOLE DES SŒURS SOUSSE - ES,Primaire/Privé,Sousse,"Rue Soeur Joséphine ,Sousse Ville",73224204, contact@ecole-des-soeurs.com 
École Du Verger,Primaire/Privé,Kasserine,"Foussana ,Kasserine",98821828, m.jedly.m@gmail.com 
École El Euch,Primaire/Privé,Tunis,"Zone Nord-est les berges du lac,  Lot 2-3-6 ,Le Kram",22102001/55102001, ecoleeleuch@yahoo.fr 
Ecole El Irtika Monastir,Primaire/Privé,Monastir,"Avenue Hedi Khefacha, Skanes ,Monastir",73908911,None
Ecole Ennawris Sbikha,Primaire/Privé,Kairouan,"3 Route de Tunis, Rue Imam Malek, Sbikha ,Kairouan",95308803,None
Ecole Ennour,Primaire/Privé,Ben Arous,"7 Rue de la Libye ,Hammam Lif",97302796/98287195/20737650,None
Ecole Enour,Primaire/Privé,Bizerte,"Avenue Habib bourguiba Centre ville Bizerte Immeuble Chahrazed ,Bizerte",29099131/93755685, contact@ecoleenour.tn 
Ecole Essedik,Primaire/Privé,Sousse,"Rue Mohamed Al-Aghlab Sahloul ,Sousse",20929997/20991909,None
Ecole et Lycée Privés Elhorriya,Secondaire/Privé,Tozeur,"Tababssa ,Tozeur",99920010/76454955/76452423, ecole.elhorriyatozeur@gmail.com 
ÉCOLE FRANÇOISE DOLTO,Primaire/Privé,Sousse,"Abdelaziz Thaalbi ,Sousse",73201093,None
Ecole Hannibal,Primaire/Privé,Tunis,"47 Rue Mohamed Abdelwahab, Jardins d’El Menzah, El Manar ,Tunis",71887095, contact@ecolehannibal.com 
École Horizon,Primaire/Privé,Tunis,"5 Bis Avenue Mohamed Abdelwaheb ,Tunis",71875269,None
Ecole Ibn Al Jazzar,Primaire/Privé,Manouba,"1, rue ibn el jazzar ,Manouba",70615021/26711133, ecolepriveeibneljazzar@gmail.com 
Ecole Ibn Hazm (EIH),Primaire/Privé,Tunis,"10, Rue Abd Allah Missaoui agba supérieure ,Tunis",96488330/22556201, ecoleibnhazm2013@gmail.com 
Ecole Internationale Française (EIF),Primaire/Privé,Tunis,"4 Rue du Jeune Foyer, El Menzeh 1 ,Tunis",53338040, inscription@eiftunis.com 
Ecole internationale française Alphonse Daudet,Primaire/Privé,Sousse,"Zone industrielle, Akouda ,Sousse",21035035, contact@alphonsedaudet.com 
Ecole internationale française Alphonse Daudet,Primaire/Privé,Sousse,"Zone industrielle Akouda ,Sousse",21035035, contact@alphonsedaudet.com 
École L'académie de Sfax,Primaire/Privé,Sfax,"Route de Teniour km 2,5 ,Sfax",28049811,None
École l'étoile,Primaire/Privé,Tunis,"31 Rue de la Kasbah ,Tunis",71327352, ecole.chemli@gmail.com 
Ecole l'Excellence,Primaire/Privé,Béja,"Rue Mohamed Ali Al Hammi ,Béja",78449764,None
Ecole La Fontaine,Primaire/Privé,Ariana,"Lot n°4 El Gammoudi, Menzah 7 ,Ariana",70832458/70832459, lafontaine_tn@yahoo.com 
Ecole LA JOCONDE El Mourouj,Primaire/Privé,Ben Arous,"Rue Ibn Mandhour El Mourouj 1 ,Ben Arous",26784001, contact@ecolelajoconde.tn 
Ecole LA JOCONDE Jumelle,Primaire/Privé,Ariana,"Residence Elyes L’aouina ,Soukra",70949009/26784003, contact@ecolelajoconde.tn 
ECOLE LA MARGUERITE,Primaire/Privé,Ariana,"2, Rue Youssef Sahab Ettabaa Menzah 7 ,Ariana",71766438/54457145, administration@ecolelamarguerite.com 
Ecole larousse (EL),Primaire/Privé,Ariana,"14, Rue Cheikh Mohamed Elkalboussi ,Ariana Ville",99955296, srmse.larousse@gmail.com 
Ecole Les Lauréats,Primaire/Privé,Sousse,"Sahloul 4 ,Sousse",24721770,None
Ecole LES PYRAMIDES,Primaire/Privé,Tunis,"8, Rue Fatma Ennechi, El Menzah ,Tunis",97682087/26626680, lespyramides.epees@yahoo.fr 
Ecole meriem,Primaire/Privé,Monastir,"Rue Hassen Ben Brahim ,Ksar Helal",53687266,None
ECOLE MONTESSORI INTERNATIONALE TUNISIE,Primaire/Privé,Ben Arous,"4 Rue de Gabès ,Hammam Lif",29010911/29010912/29010913, contact@montessori.tn 
Ecole Nationale d'Architecture et d'Urbanisme (ENAU),Supérieur/Public,Tunis,"Rue El Qods Sidi Bou Said ,Tunis",71729197/71729198,None
Ecole Nationale d'Ingénieurs de Gafsa,Supérieur/Public,Gafsa,"Sidi Ahmed Zarroug ,Gafsa",76210666/76210673,None
Ecole Nationale d'Ingénieurs de Monastir | ENIM,Supérieur/Public,Monastir,"Avenue Ibn El Jazzar ,Monastir",73500511/73500514,None
Ecole Nationale d'Ingénieurs de Tunis - ENIT,Supérieur/Public,Tunis,"Campus Universitaire farhat HACHED el MANAR  BP 37, LE BELVEDERE ,Tunis",71874700/70014400, enit@enit.rnu.tn 
École Nationale de Médecine Vétérinaire de Sidi Thabet,Supérieur/Public,Ariana,"école nationale de médecine véterinaire ,Sidi Thabet",71552200, enmv@iresa.agrinet.tn 
Ecole Nationale d’Ingénieurs de Carthage (ENICarthage),Supérieur/Public,Tunis,"45 Rue des Entrepreneurs 2035 Charguia II ,Carthage",71940699/71940775, enicarthage@enicarthage.rnu.tn 
Ecole Nationale d’Ingénieurs de Sfax (ENIS),Supérieur/Public,Sfax,"Route de la Soukra km 4 ,Sfax",74274088, enis@enis.rnu.tn 
Ecole Nationale d’Ingénieurs de Sousse (ENISo),Supérieur/Public,Sousse,"Technopole de Sousse, Route de Ceinture Sahloul, Cité Hammam Maarouf ,Sousse",73369500/73369501/73369502,None
Ecole Nationale Supérieure d'ingénieurs de Tunis - ENSIT,Supérieur/Public,Tunis,"Avenue Taha Hussein Montfleury ,Tunis",71496066/71494020/71399525, contact@ensit.tn 
Ecole Nebrass,Primaire/Privé,Sfax,"Route EL Ain ,Sfax",26657602/25655614, ecolenebrassfax@gmail.com 
Ecole Nibras,Primaire/Privé,Médenine,"Rue El Werseniye ,Ben Guerdene",75717370/21707778, ecole.nibrass@gmail.com 
Ecole Normale Supérieure (ENS),Supérieur/Public,Tunis,"8, place aux chevaux 1089 - EL Gorjani ,Tunis",71561362/71563237/71260374, ens@ens.rnu.tn 
École Paul Verlaine,Primaire/Privé,Tunis,"16 Rue Othaman Kaak ,La Marsa",31355610, epv@erlm.tn 
École Polytechnique de Sousse,Supérieur/Privé,Sousse,"Route Ceinture Sahloul Entrée Kalaa Sghira ,Sousse",73277877/99277877/96277877, contact@polytecsousse.tn 
ECOLE POLYTECHNIQUE DE TUNISIE,Supérieur/Public,Tunis,"B.P. 743 ,La Marsa",71774611, ept@ept.rnu.tn 
Ecole Polytechnique Internationale - POLYTECH INTL,Supérieur/Privé,Tunis,"Rue du Lac d'Annecy, Les Berges du Lac ,Tunis",70026426/29310031, contact@pi.tn 
École Polytechnique méditerranéenne - EPM,Supérieur/Privé,Tunis,"Rue de Sousse Bab Elkhadra ,Tunis",71283417/72220507/71903215, contact@umltn.tn 
Ecole Préparatoire des Aveugles Bir El Kassa,Secondaire/Public,Ben Arous,"Cité Hached, Bir Kassa ,Ben Arous",71388544,None
ECOLE PRIMAIRE IBN ZOHR,Primaire/Privé,Ariana,"9 Route Dar Fadhal ,Soukra",52956998, ecole.ibnzohr@yahoo.fr 
Ecole Primaire l'Idéale,Primaire/Privé,Nabeul,"Rue El Akhtal, Dar Châbane ,Nabeul",98749402/72231660, ideale-ghalleb@topnet.tn 
Ecole Primaire La Récré,Primaire/Privé,Tunis,"14 Rue Ahmed Amine, France ville ,Omrane",71897003, adecoleprime@larecre.tn 
Ecole Primaire Le Pré-Vert (LPV),Primaire/Privé,Tunis,"93 av de la republique Mégrine-Coteaux ,Tunis",52663737, info.leprevert@gmail.com 
Ecole Primaire l’intégrale,Primaire/Privé,Tunis,"Zone Kheireddine  LAC 3 ,Le Kram",70246192/70246190/25520025/99904120, contact@ecoleintegrale.tn 
ÉCOLE PRIMAIRE MALEK ESSAGHIR,Primaire/Privé,Tunis,"65 rue Abdelaziz Thaâlbi, Menzah 9 ,Tunis",71885165/28212223, malik.essaghir@gmail.com 
Ecole Primaire Pilote Privée Gabès,Primaire/Privé,Gabès,"Rue Khaireddine Bacha ,Gabès",75273944,None
"Ecole primaire privée ""Les épis de l'éspoir""",Primaire/Privé,Ariana,"44 rue la démocratie, menzah 5 ,Ariana",21087150,None
"ECOLE PRIMAIRE PRIVÉE ""LES JASMINS"" ZAOUIET SOUSSE",Primaire/Privé,Sousse,"Rue Bizerte, Derrière collège ,Zaouia Ksiba Thrayat",21136133, fatma.elhraiech01@gmail.com 
"Ecole primaire privée ""Les sources d'elfaouz"" ezzahra",Primaire/Privé,Ben Arous,"rue taher haded ,Ezzahra",79483155,None
Ecole primaire privée : Rihab ettarbia,Primaire/Privé,Ben Arous,"Rue Mongi Slim (derrière le collège) ,Ezzahra",None,None
École primaire privée Abderrahmen,Primaire/Privé,Sousse,"Trik Chatt, Immeuble Berriri ,Hammam sousse",54009001/53517696, hlima_tn@yahoo.fr 
Ecole Primaire Privée Al Ebdaa,Primaire/Privé,Kef,"Route Dahmani Km 1 ,Kef Ouest",40368336, ecole.al.ebdaa@gmail.com 
Ecole Primaire Privee Al Kholdounia Enfidha,Primaire/Privé,Sousse,"Avenue du Palmier ,Enfidha",52638889, salouakhaled@yahoo.com 
Ecole Primaire Privée Al Mostakbal,Primaire/Privé,Kébili,"Route de Tozeur ,Kébili",94583711/99605217,None
Ecole Primaire Privée AL-MARIFA,Primaire/Privé,Kairouan,"Route de Tunis, Cité El Manar ,Kairouan Nord",77270020/28333380, almarifaecole@gmail.com 
Ecole Primaire Privée Avicenne - Gafsa,Primaire/Privé,Gafsa,"Douali ,Gafsa",97282474, avicenneschool.gafsa@yahoo.com 
École Primaire Privée Avicenne Djerba Midoun,Primaire/Privé,Médenine,"Rue Farhat Hached ,Jerba Midoun",50028838/20580880,None
Ecole Primaire Privée Avicenne Kef,Primaire/Privé,Kef,"3 RUE OUED MELLEGUE CITE EZZITOUNA ,Kef Est",93660007, tebessikadhem7@gmail.com 
Ecole Primaire Privée Avicenne Monastir,Primaire/Privé,Monastir,"Rue Montréal, El Mechref Skanes ,Monastir",73505948, contact@ecole-avicenne.tn 
Ecole Primaire Privée Carthagène,Primaire/Privé,Bizerte,"Route de Tabarka , Cité de l'environnement ,Sejnane",25788238,None
Ecole primaire privée de l'Escale,Primaire/Privé,Monastir,"Rue Elissa Cité il Mandra ,Béni Hassan",73490165,None
École primaire privée Decroly school,Primaire/Privé,Sousse,"Rue colonel garnaoui ,Sousse",,None
École primaire privée El amed sahloul,Primaire/Privé,Sousse,"Avenue Sadok Mokaddem Sahloul ,Sousse",73820875,None
Ecole Primaire Privée El Hekma,Primaire/Privé,Nabeul,"Rue de la ligue arabe ,Kelibia",72273038, contact@elhekma.tn 
Ecole primaire privée El Manehel Gafsa,Primaire/Privé,Gafsa,"Gafsa ,Gafsa",76210609,None
Ecole Primaire Privée El Messaad,Primaire/Privé,Gafsa,"Sidi Ahmed Zaroug ,Gafsa",70655058,None
Ecole Primaire Privée Errached,Primaire/Privé,Bizerte,"Route lycée Utique Zhana ,Bizerte",72445195, contact.errached@gmail.com 
École Primaire Privée Errahma,Primaire/Privé,Sousse,"3, Rue el fath ,Sousse Ryadh",73301945/73301946/73301510,None
École primaire privée Erroua,Primaire/Privé,Manouba,"5 Rue 2 Mars 1934 ,Oued Ellil",71535305/71533381,None
Ecole Primaire privée Ets Hassoumi,Primaire/Privé,Tunis,"113 Avenue 20 Mars ,Bardo",71512407/52330902, eppeh@planet.tn 
Ecole Primaire Privée Excellence,Primaire/Privé,Sousse,"cité El yasmine en face du collége El yasmine ,Enfidha",73250174,None
Ecole Primaire Privée Fatima Ezzahra,Primaire/Privé,Sousse,"Khzema Ouest ,Hammam sousse",20401400,None
Ecole Primaire Privée High School,Primaire/Privé,Monastir,"Route de Harkoussia ,Benbla",99004491,None
Ecole Primaire Privée Iben Rachik Ouardanine,Primaire/Privé,Monastir,"Boulevard de la Liberté route Monastir Ouardanine ,Monastir",73515500/58404805, ibn_rachik@yahoo.com 
Ecole Primaire Privée Ibn Mandhour,Primaire/Privé,Gafsa,"Rass Elkef, Près de la maison citroën ,Gafsa",58623093, ibnmandhour@hotmail.com 
Ecole Primaire Privée IBN RACHIK,Primaire/Privé,Kairouan,"8 Rue Khmaiess Tarnene, El Hajjem ,Kairouan Nord",77304691/98451227/23451227,None
École Primaire Privée Ibn Rachiq,Primaire/Privé,Bizerte,"17 Rue du Maroc ,Bizerte",72416555, ecole@ibnrachiq.tn 
Ecole Primaire Privée Integrale Djerba,Primaire/Privé,Médenine,"Houmet Souk ,Mednine Sud",75622000,None
École primaire privée Khawarezmi School Jendouba,Primaire/Privé,Jendouba,"AFH cité El-Hadaek ,Jendouba",98631450, khawarezmischool@gmail.com 
ECOLE PRIMAIRE PRIVEE LA TULIPE (EPLT),Primaire/Privé,Tunis,"23 rue Rakkada ,Bardo",52992696/98459311, contact@eplt.net 
École primaire privée le Paradis,Primaire/Privé,Gafsa,"En face de pharmacie Aicha ,El Ksar",54314868, oozzoon@gmail.com 
Ecole Primaire Privée Le Roi,Primaire/Privé,Sfax,"Route el ain km 1 près lycée 15 novembre ,Sfax",99661081, ecoleleroi@gmail.com 
ECOLE PRIMAIRE PRIVEE L’ESCALE,Primaire/Privé,Monastir,"Rue Elissa Cité il Mandra Beni Hassan ,Monastir",73490165,None
Ecole primaire privée Nobel School,Primaire/Privé,Tunis,"31, Rue de Niger ,Tunis",71905564/95609859, nobelschooltunis@gmail.com 
Ecole Primaire Privée Picasso,Primaire/Privé,Ben Arous,"1, rue Tunis Nouvelle Medina ,Ben Arous",97552248, societepicasso@gmail.com 
Ecole Primaire Privée Salah Ch'hab - Ettafawok,Primaire/Privé,Kairouan,"Rue Habib Bourguiba ,Sebikha",98931532/23336429, elyazidi_ghada@yahoo.fr 
École primaire privée-Pythagore,Primaire/Privé,Monastir,"Rue Mohammed Zili R4 ,Monastir",73501615, ecolepythagore@outlook.com 
École Primaire Privée: SIDKI,Primaire/Privé,Sidi Bouzid,"Cité Ezzouhour ,Regueb",76640387,None
Ecole Primaire Rue des Savants,Primaire/Privé,Tunis,"15 rue Patrice Lumumba Montfleury ,Tunis",93943423, Jouricreation@gmail.com 
École privée Al-Farabi Kelibia,Secondaire/Privé,Nabeul,"Avenue Ali Belahouane - Kélibia ,Nabeul",72295611,None
École privée Al-Farabi Sahline,Primaire/Privé,Monastir,"Rue Hadi chaker ,Sahline",73528584,None
Ecole Privée Arwa,Primaire/Privé,Kairouan,"Rue de l'environnement ,Kairouan",50694460,None
École privée Bouraoui - Le Pilier,Primaire/Privé,Ben Arous,"Route d'Ezzahra près de la station de lavage Bir Tarraz ,Radès",24222271/22539544, ecolebouraoui@gmail.com 
École privée El Maarifa,Primaire/Privé,Ariana,"19 Rue d'Albanie, Riadh Ennasr 1 ,Ariana",70850990,None
Ecole Privée Kallaline,Primaire/Privé,Tunis,"12, place des Potiers BP 145, Bab Souika ,Tunis",71572310/71560097, administration@kallaline.com 
Ecole Privée Khaznadar,Primaire/Privé,Tunis,"Rue des Vergers, Khaznadar ,Tunis",70605084, epk.khaznadar@yahoo.fr 
Ecole privée L'HORIZON,Primaire/Privé,Ben Arous,"24, Avenue de Rome, Mourouj 4 ,Ben Arous",71470062/29691777/29681777, contact@ecolehorizon.tn 
École Privée La Fierté,Primaire/Privé,Bizerte,"30 Rue Laroussi El Hadded ,Bizerte",22804818, ecolelafierte@gmail.com 
Ecole privée Le Petit Robert,Primaire/Privé,Ariana,"BORJ LOUZIR / SOUKRA ,Ariana",54555666, ecolepetitrobert@gmail.com 
Ecole Privée Les Etoiles Msaken,Primaire/Privé,Sousse,"Rue zaghwen ,Msaken",97452190,None
Ecole Privée Nour Al Ilm,Primaire/Privé,Zaghouan,"Rue El Arbi Zarrouk ,Nadhour",97033888,None
Ecole privée numérique Al Mostakbal,Primaire/Privé,Sidi Bouzid,"Route Principale, à côté de station Total ,Sabbalet Ouled Askar",92804757,None
Ecole privée Pascal School,Primaire/Privé,Sousse,"avenue de l'environnement ,Kalâa Elkébira",97770295,None
Ecole Privée Toyour El Janna,Primaire/Privé,Sfax,"Route Soukra Km 4, Zanket Zouari ,Sfax",25084606, ep.touyoureljanna@gmail.com 
Ecole Privée Victor HUGO,Primaire/Privé,Sousse,"Rue de grand maghreb Zaouiet Sousse ,Sousse",73826404,None
Ecole Pythagore,Primaire/Privé,Sousse,"Rue du Géneral Mohamed El Kafi ,Hammam sousse",54689999,None
Ecole Pythagore,Primaire/Privé,Sousse,"Rue du Géneral Mohamed El Kafi ,Hammam sousse",54689999/73240500, ecole.pythagore.sousse@gmail.com 
ECOLE RIAHI,Primaire/Privé,Manouba,"30 avenue habib bourguiba ,Manouba",70604784,None
Ecole Secondaire Privée Avicenne,Secondaire/Privé,Jendouba,"Route de Tunis , Cité El Mahrajen ,Jendouba",26343471,None
Ecole Supérieur des Sciences et des Techniques de Santé de Sousse,Supérieur/Public,Sousse,"Rue de TAZAKESTAN Sahloul II ,Sousse",73369307, contact@esstssousse.com 
Ecole Supérieure d'Agriculture de Mateur,Supérieur/Public,Bizerte,"Route de Tabarka ,Mateur",72486074/72485665, esamat@iresa.agrinet.tn 
Ecole Supérieure d'Agriculture de Mograne (ESA Mograne),Supérieur/Public,Zaghouan,"Mograne ,Zaghouan",72660283/72660043,None
Ecole Supérieure d'Agriculture du Kef (ESAK),Supérieur/Public,Kef,"Boulifa ,Kef",78238038/78238138, esak@iresa.agrinet.tn 
École Supérieure d'Économie Numérique,Supérieur/Public,Manouba,"Technopole ,Manouba",70526349/70526386, contact@esen.tn 
Ecole Supérieure d'Ingénieurs Privée de Gafsa - ESIP,Supérieur/Privé,Gafsa,"Sidi Ahmed Zarroug ,Gafsa",76211930, contact@esip.tn 
Ecole Supérieure de Commerce de Sfax,Supérieur/Public,Sfax,"Route de l'Aérodrome km 04 - B.P. 1081 ,Sfax",74279620, escs@escs.rnu.tn 
École Supérieure de Commerce de Tunis - ESCT,Supérieur/Public,Manouba,"Campus Universitaire ,Manouba",71600615/71602975, communication@esct.uma.tn 
Ecole Supérieure de Commerce Electronique,Supérieur/Public,Manouba,"Campus Universitaire de la Manouba ,Manouba",71602919,None
Ecole Supérieure de la Statistique et de l'Analyse de l'Information (ESSAI),Supérieur/Public,Tunis,"6, Rue des Métiers - Charguia II - B.P 675 ,Tunis",70839440,None
Ecole Supérieure de l’Aéronautique et des Technologies (ESAT),Supérieur/Privé,Tunis,"15 Rue de l’Usine Cherguia 2 ,Carthage",71940422, admission@esat.ens.tn 
Ecole Supérieure des Communications de Tunis (Sup'Com),Supérieur/Public,Ariana,"Cité Technologique des Communications Route de Raoued Km 3,5 El Ghazala ,Ariana",71857000, contact@supcom.tn 
Ecole Supérieure des Etudes Administratives et Commerciales de Sfax (ESEAC),Supérieur/Public,Sfax,"Angle Ibn BADIS, Avenue d’Algérie, Immeuble FENDRI ,Sfax Ville",74222550/29717668, contact@eseac.ens.tn 
Ecole Supérieure des Industries Alimentaires de Tunis (ESIAT),Supérieur/Public,Tunis,"58 Av. Alain Savary ,Cité Alkhadhra",71770399/71770959,None
Ecole Supérieure des Ingénieurs  de Medjez El Bab (ESIM),Supérieur/Public,Béja,"Ecole Supérieure des Ingénieurs de l'Equipement Rural ,Mejez El Bab",78562450, esier@iresa.agrinet.tn 
Ecole Supérieure Des Sciences Appliquées Et De La Technologie Privée De Gabès ( ESSAT),Supérieur/Privé,Gabès,"Avenue Aboulkacem El Chebbi ,Gabès",75294660/75294690, contact@essat-gabes.com 
Ecole Supérieure des Sciences Economiques et Commerciales de Tunis (ESSECT),Supérieur/Public,Tunis,"4, Rue Abou Zakaria El Hafsi - Montfleury ,Tunis",71330266, essect@essect.rnu.tn 
Ecole Supérieure des Sciences et de la Technologie de Hammam Sousse (ESSTHS),Supérieur/Public,Sousse,"Avenue Lamine Abassi ,Hammam sousse",73370711/73370712, essths@essths.rnu.tn 
École Supérieure des Sciences et Techniques de la santé de Monastir - ESSTS,Supérieur/Public,Monastir,"Avenue Avicenne B.P. 128 ,Monastir",73462477, esstsm@rns.tn 
Ecole Supérieure des Sciences et Techniques de la Santé de Sfax,Supérieur/Public,Sfax,"Route de l’aéroport km 4 Boite Postale 1099 ,Sfax",74465700/74465701/74465702/74465703, ecosuptechsante.sfax@rns.tn 
Ecole Supérieure des Sciences et Techniques de la Santé de Tunis - ESSTST,Supérieur/Public,Tunis,"La Rabta - Bab Saâdoun - B.P. 176 ,Tunis",71562455, contact@esstst.tn 
ECOLE SUPÉRIEURE DES SCIENCES ET TECHNOLOGIES DU DESIGN - ESSTED,Supérieur/Public,Tunis,"Avenue de l`indépendance DenDen ,Tunis",71610700, contact@essted.rnu.tn 
Ecole Supérieure Polytechnique Internationale Privée - ESPIN,Supérieur/Privé,Sfax,"Route de Tunis km 10, Sakiet Ezzit ,Sfax",55414172/74860222, contact@espin.ens.tn 
Ecole Supérieure Privée d'Ingénieurs de Monastir - ESPRIMS',Supérieur/Privé,Monastir,"Boulevard de l'environnement  BP 104, Monastir République ,Monastir",73500200/94840200, contact@esprims.ens.tn 
Ecole Supérieure Privée des Technologies d'Informatique et de Management - ESTIM UNIVERSITE,Supérieur/Privé,Sousse,"Boulevard de l’environnement Zitouna 1 N° 28 - El Kantaoui (En face des deux dauphins de la Baie des Anges) ,Hammam sousse",73347323/29728758, contact@estim.tn 
Ecole Supérieure Privée d’Informatique et d’Administration des Affaires,Supérieur/Privé,Tunis,"10 Rue Socrate Z.I Kheireddine ,Le Kram",71182625, info@ebs.tn 
École Voltaire,Primaire/Privé,Sousse,"Avenue Mohamed Karoui ,Sousse",97228988,None
Ecole Voltaire,Primaire/Privé,Jendouba,"1 Rue de Bizerte, Cité Palmiers 2 ,Jendouba",78613088, voltaire.genios@gmail.com 
Eims Business School,Supérieur/Privé,Sousse,"A proximité Hotel Cléopatre, rue Amwej, zone touristique ,Hammam sousse",73823540/20647000, admissions@eimsousse.com 
Einstein Academy School,Primaire/Privé,Nabeul,"Avenu Militant Abdelkader Dardouri ,Kelibia",29561426,None
EIT - ECOLE INTERNATIONALE DE TUNIS,Primaire/Privé,Tunis,"Avenue Asdrubal Les Jardins de Carthage ,Le Kram",71668152, eit2880@yahoo.fr 
El Afak,Secondaire/Privé,Kairouan,"Kairouan Okba ,Kairouan",77305731,None
El Amed,Primaire/Privé,Monastir,"Avenue Habib Bourguiba Route de Sousse، en face Pâtisserie Mili ,Sahline",73277931/23600065, contact@college-elamed.com 
EL BAYEN,Secondaire/Privé,Tunis,"6 rue djebel mansour Avenue de la Liberté Lafaiette Tunis Belvèdere ,Tunis",71283273, mariem.zoghlemi@yahoo.fr 
EL BAYEN SCHOOL,Primaire/Privé,Tunis,"Avenue Mohamed Bouazizi ,El Menzah",97546310/54325240,None
El Bouslimi School,Secondaire/Privé,Ben Arous,"Rue de Rome numéro 1, El Mourouj 4 ,Mourouj",20767730,None
El Ebdaa School,Primaire/Privé,Gabès,"Cité Hached 2 Tebelbou ,Gabès",26547230/75292372, eplc.gabes@gmail.com 
El Faouz,Secondaire/Public,Sfax,"Avenue Taieb M'hiri ,Bir Ali Ben Khelifa",74277319,None
